INFO 2024-12-26 10:11:45,191 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-26 10:11:45,192 autoreload Waiting for apps ready_event.
DEBUG 2024-12-26 10:11:46,058 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-26 10:11:46,079 autoreload Watching dir E:\code\spark_main\djangoProject\templates with glob **/*.
DEBUG 2024-12-26 10:11:46,079 autoreload Watching dir E:\anaconda3-2024-3-28\envs\data_visualization_course_design\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-12-26 10:11:46,079 autoreload Watching dir E:\code\spark_main\djangoProject\locale with glob **/*.mo.
DEBUG 2024-12-26 10:11:46,079 autoreload Watching dir E:\anaconda3-2024-3-28\envs\data_visualization_course_design\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-12-26 10:11:46,079 autoreload Watching dir E:\code\spark_main\djangoProject\visualization\locale with glob **/*.mo.
DEBUG 2024-12-26 10:11:46,140 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-12-26 10:11:46,145 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-12-26 10:11:46,459 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\db\transaction.py first seen with mtime 1733426951.1904898
DEBUG 2024-12-26 10:11:46,459 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\httpx\_transports\base.py first seen with mtime 1735138799.2691643
DEBUG 2024-12-26 10:11:46,459 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\DLLs\_bz2.pyd first seen with mtime 1733406203.3579879
DEBUG 2024-12-26 10:11:46,459 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\requests\hooks.py first seen with mtime 1734929537.4773867
DEBUG 2024-12-26 10:11:46,459 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\urllib3\_base_connection.py first seen with mtime 1734929535.7723083
DEBUG 2024-12-26 10:11:46,459 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1735095408.1915114
DEBUG 2024-12-26 10:11:46,461 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\core\management\base.py first seen with mtime 1733426951.1824896
DEBUG 2024-12-26 10:11:46,461 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\json\decoder.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,461 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\httpx\_transports\default.py first seen with mtime 1735138799.270165
DEBUG 2024-12-26 10:11:46,462 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\email\mime\nonmultipart.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,462 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1733426951.1984901
DEBUG 2024-12-26 10:11:46,462 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1733426950.7464821
DEBUG 2024-12-26 10:11:46,462 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\template\base.py first seen with mtime 1733426951.2384908
DEBUG 2024-12-26 10:11:46,463 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1733426951.1744895
DEBUG 2024-12-26 10:11:46,463 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1733426951.1744895
DEBUG 2024-12-26 10:11:46,463 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\pkgutil.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,464 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\sqlparse\cli.py first seen with mtime 1734007217.891788
DEBUG 2024-12-26 10:11:46,464 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1733426951.1984901
DEBUG 2024-12-26 10:11:46,464 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\utils\hashable.py first seen with mtime 1733426951.254491
DEBUG 2024-12-26 10:11:46,464 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\concurrent\futures\__init__.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,465 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1733426951.1744895
DEBUG 2024-12-26 10:11:46,465 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\utils\timezone.py first seen with mtime 1733426951.254491
